guilherme,1,1,2022-11-16 16:56:15.897109
lucas,2,1,2022-11-16 16:56:30.260396
guilherme,2,2,2022-11-16 16:56:46.280033
guilherme,2,2,2022-11-16 16:57:03.560170
lucas,1,1,2022-11-16 16:57:17.143009
lucas,1,1,2022-11-16 16:57:30.312811
guilherme,1,2,2022-11-17 09:05:27.719409
guilherme,2,3,2022-11-17 09:05:45.677764
lucas,1,2,2022-11-17 09:06:01.582190
guilherme,1,0,2022-11-17 09:06:18.967045
guilherme,1,4,2022-11-17 12:03:11.257452
guilherme,2,4,2022-11-17 12:03:41.475043
guilherme,1,5,2022-11-17 12:04:15.344436
guilherme,2,5,2022-11-17 12:04:38.167412
guilherme,1,3,2022-11-17 12:07:15.952103
guilherme,2,3,2022-11-17 12:07:38.437769
guilherme,1,1,2022-12-06 16:54:57.190645
guilherme,2,3,2022-12-06 16:55:44.443855
rubem,1,0,2022-12-06 17:21:15.412983
rubem,1,2,2022-12-06 17:23:49.884322
rubem,2,2,2022-12-06 17:24:21.338364
rubem,2,4,2022-12-06 17:24:54.660387
guilherme,1,1,2022-12-06 17:39:36.764086
guilherme,2,1,2022-12-06 17:40:05.741286
abel,1,3,2022-12-12 15:19:07.934138
abel,2,5,2022-12-12 15:20:33.868961
